name,latitude,longitude,qr_code,postal_code
Yishun Industrial Park A,1.441270,103.835320,12345678,768736
Nanyang Drive,1.3483,103.6816,IM1l0267,638075
Pasir Laba Road,1.3339,103.6713,IM1l0783,637559
Tuas South Avenue 5,1.2736,103.6204,IM1l0629,637363
Tuas View Circuit,1.2899,103.6318,IM1l0392,637359
Tuas South Avenue 14,1.2734,103.6237,IM1l0619,637312
Loyang Way,1.3772,103.9744,IM1l0445,508726
Upavon Road,1.3891,103.9832,IM1l0597,507739
Mariam Way,1.3589,103.9685,IM1l0366,507079
Changi North Street 1,1.3525,103.9674,IM1l0590,498816
Changi North Way,1.3527,103.9752,IM1l0407,498813
